order_id,total_each_sku,sku,product_unit_price
3243,1,802-Black-M,76.00
3245,1,2000-SlateGray-M,105.00
3244,1,1050-Black-L,105.00
3225,1,402-Black-S,74.00
3225,1,402-White-S,74.00
3238,1,402-Navy-M,74.00
3238,1,402-SlateGray-M,74.00
3234,1,802-SlateGray-M,76.00
3234,1,802-Navy-M,76.00
3247,1,402-Black-S,74.00
3247,1,402-White-S,74.00
3247,1,802-White-M,76.00
3230,1,1070-Black-XS,75.00
3230,1,2000-ChiliPepperRed-S,79.00
3230,1,230-FuchsiaPurple-M,74.00
3223,1,1050-Black-XL,105.00
3223,1,802-SlateGray-XL,76.00
3223,1,802-FuchsiaPurple-XL,76.00
3242,4,402-Black-L,74.00
4222,2,1041-Black-S,89.00
4222,1,1041-Black-XS,89.00
4222,1,1041-Black-M,89.00
4221,1,2001-White-S,78.00
4221,2,802-White-S,84.00
4221,1,802-Ivory-XS,84.00
1676,1,EAS 401-Black-L,68.00
3822,1,501-Bluestone-S,76.15
3822,1,302-Bluestone-S,82.33
3823,1,402-Bluestone-L,80.00
3823,1,501-Bluestone-L,74.00
1043,1,301-Black-L,63.80
1043,1,1050-Black-L,101.87
3802,1,1050-Black-S,109.00
3802,1,1050-White-S,109.00
3806,3,1050-Black-L,109.00
3803,1,1050-Black-M,109.00
3805,1,1050-Black-M,112.15
3809,1,1050-White-L,109.00
3807,1,1050-Black-XL,109.00
3808,1,1050-White-S,109.00
3177,1,401-Natural-L,35.00
3177,1,901-Navy-L,35.00
3177,1,2000-ChiliPepperRed-L,79.00
1154,1,1050-Black-S,91.48
2142,1,802-Black-XS,71.00
2142,1,2000-Black-XS,99.00
2142,1,2001-White-XS,86.00
4198,1,401-Black-S,74.00
4199,1,701-Black-M,79.00
4217,1,801-SlateGray-M,79.00
4270,1,802-Black-M,84.00
4270,1,802-SlateGray-M,84.00
4172,1,302-SlateGray-S,86.12
4172,1,202-White-S,86.12
4172,1,202-Natural-L,86.12
2670,1,9001-Black-M,77.51
4080,1,401-Black-M,74.00
3101,1,2000-ChiliPepperRed-L,81.29
3101,1,2000-ChiliPepperRed-S,81.29
2378,1,2000-Black-L,101.87
2372,1,202-Black-M,74.28
2372,1,2000-Slate Gray-M,106.57
2560,1,202-Navy-S,74.00
3960,1,201-Black-L,74.00
3962,1,402-Navy-M,80.00
3956,1,802-White-S,84.00
3957,1,802-SlateGray-L,84.00
3955,1,501-FuchsiaPurple-S,65.00
3955,1,401-White-S,74.00
3958,1,302-White-XS,80.00
3958,1,301-Navy-XS,74.00
3959,1,802-Black-S,84.00
3959,1,402-Black-S,80.00
994-1,1,202-Black-M,69.00
994-1,1,402-Navy-M,69.00
994-2,1,202-Java-M,69.00
994-2,1,402-White-M,69.00
996,1,402-Black-M,69.00
996,1,402-Black-S,69.00
996,1,402-Java-S,69.00
996,1,402-Grey-M,69.00
893,1,1020-Black-XS,30.13
893,1,1020-White-XS,30.13
1100,1,601-Black-XS,66.72
1364,1,402-White-S,74.26
984,1,302-Black-XS,74.26
984,1,302-White-XS,74.26
984,1,802-Black-L,76.41
984,1,802-Grey-XS,76.41
3538,1,202-Natural-S,82.30
3538,1,202-Natural-M,82.30
4037,1,201-White-S,74.00
3721,1,801-SlateGray-M,79.00
3945,1,302-Black-S,80.00
3780,1,802-Black-M,84.00
4183,1,802-White-XS,84.00
3284,1,402-Black-S,74.00
3284,1,402-Java-S,74.00
3729,2,401-Black-XS,74.00
3972,1,1001-Ivory-S,69.00
3972,1,402-ChiliPepperRed-S,80.00
3939,2,202-Natural-XS,80.00
3947,1,402-SlateGray-M,82.32
3947,1,402-Black-S,82.32
4284,1,802-SlateGray-XS,84.00
4284,1,202-Black-XS,80.00
3699,1,230-White-L,80.00
3699,1,601-White-L,84.00
3384,1,901-Black-L,40.13
3090,1,1060-White-S,39.00
3085,1,101-Natural-M,25.00
3085,1,1050-Black-M,105.00
3085,1,1050-White-M,105.00
3085,1,1060-White-M/L,39.00
3089,4,101-Natural-S,25.00
3086,3,1060-White-S,41.98
2402,1,202-Chili Pepper Red-XS,29.00
2408,1,202-Java-XL,29.00
2430,1,202-Chili Pepper Red-L,29.00
2434,1,201-White-XS,28.00
2434,1,1040-Black-XS,65.00
2434,1,1040-Black-S,65.00
2434,2,1060-White-S,49.00
2434,1,202-Grey-XS,54.00
2434,1,202-Grey-S,54.00
2390,1,101-Natural-XS,39.00
2419,1,401-Natural-S,42.00
2428,1,401-Java-M,46.31
2400,1,301-Java-XL,24.00
2400,1,202-Chili Pepper Red-L,29.00
2432,1,501-Java-XL,28.00
2432,1,201-Chili Pepper Red-L,28.00
2433,1,101-Natural-M,39.00
2433,1,202-Java-M,29.00
2429,1,202-Java-L,29.00
2429,1,401-Java-L,45.00
2420,1,101-Natural-M,40.13
2420,1,501-Natural-L,40.13
2425,2,101-Natural-S,39.00
2399,1,701-Violet-M,28.00
2399,1,201-Chili Pepper Red-L,28.00
2399,1,202-Chili Pepper Red-S,29.00
2413,1,701-Violet-L,28.00
2413,1,202-Java-M,29.00
2413,1,501-Java-M,28.00
2416,1,401-Natural-S,42.00
2416,1,401-Java-S,45.00
2404,1,101-Natural-S,41.98
2404,1,501-Java-M,30.14
2404,1,202-Chili Pepper Red-S,31.22
2414,2,1060-White-S,49.00
2426,3,101-Natural-S,39.00
2394,1,101-Natural-S,39.00
2394,1,301-Natural-S,42.00
2394,1,401-Natural-S,42.00
2418,1,101-Natural-S,39.00
2418,1,301-Natural-M,42.00
2418,1,401-Natural-S,42.00
2395,1,101-Natural-S,39.00
2395,1,201-Javal-S,28.00
2395,1,201-Chili Pepper Red-XS,28.00
2395,1,202-Chili Pepper Red-S,29.00
2411,1,501-Natural-XS,39.00
2411,1,401-Natural-S,42.00
2411,1,1060-White-S,49.00
2396,3,101-Natural-S,39.00
2396,1,1031-Black-M,8.00
2396,1,301-Java-M,24.00
2396,1,201-Chili Pepper Red-L,28.00
2396,1,202-Chili Pepper Red-S,29.00
2431,1,901-Navy-S,28.00
2387,1,501-Java-M,30.14
2387,1,3000-Fuchsia Purple,40.91
2387,1,3000-Java Brown,40.91
2371,5,3000-Black-One Size,40.91
2398,1,302-Navy-XS,34.45
2377,1,701-Violet-L,30.14
3879,1,230-SlateGray-L,80.00
3879,1,201-Black-L,74.00
3877,2,802-Black-XS,84.00
3872,1,701-Black-S,79.00
3872,1,301-Navy-S,74.00
3872,1,201-Black-S,74.00
3873,2,202-Black-M,80.00
3873,1,202-White-M,80.00
3880,1,802-White-S,84.00
3880,2,402-White-S,80.00
3875,1,1041-Black-XL,89.00
3875,2,202-Black-L,80.00
1142,1,402-Black-XS,74.26
1142,1,501-Grey-XS,66.72
1011,1,302-Grey-M,74.26
1194,1,401-Black-M,66.72
1194,1,1020-White-M,12.91
2688,1,202-Natural-M,69.00
2688,1,202-Black-M,74.00
2688,1,201-Black-M,67.00
2688,1,201-White-M,67.00
2688,1,202-White-M,74.00
4224,1,801-Black-L,79.00
4229,1,802-FuchsiaPurple-XS,79.00
4234,1,202-Black-L,82.33
2677,1,401-Black-S,67.00
2671,1,802-Black-XL,76.00
4223,1,301-White-M,74.00
4223,1,201-White-M,74.00
4226,2,401-Black-XL,74.00
4231,1,1001-White-M,74.00
4231,1,402-White-L,80.00
4233,1,402-Black-M,86.13
4233,1,302-Black-M,86.13
3930,1,1001-Black-S,69.00
3930,1,402-Black-S,80.00
2680,1,302-Black-L,74.00
2680,1,402-Black-M,74.00
2678,1,402-Black-S,74.00
2678,1,402-White-S,74.00
2675,1,402-Black-XL,74.00
2675,1,402-Ivory-L,74.00
4225,1,402-Black-L,80.00
4225,1,402-Navy-L,80.00
4225,1,402-SlateGray-L,80.00
4230,1,402-Black-S,80.00
4230,1,402-ChiliPepperRed-S,80.00
4230,1,402-White-S,80.00
4230,1,402-Ivory-S,80.00
3928,1,601-White-M,68.00
3928,1,601-Black-M,68.00
3932,1,402-FuchsiaPurple-S,76.00
3932,1,230-FuchsiaPurple-S,69.00
3933,1,3000-Navy,49.00
3933,1,3000-Java,49.00
3933,1,3000-White,49.00
4144,1,401-White-S,74.00
4240,1,402-White-S,80.00
4240,2,402-Black-S,80.00
3275,1,401-Ivory-M,67.00
4127,1,501-Bluestone-S,74.00
4124,1,402-Black-L,80.00
4132,1,501-Ivory-S,74.00
4132,1,501-Navy-S,74.00
4125,1,501-Ivory-M,74.00
4125,1,202-White-M,80.00
4126,1,302-Bluestone-M,80.00
4126,1,202-Navy-M,80.00
4130,1,202-White-M,86.13
4130,1,202-Black-M,86.13
4130,1,201-White-M,79.66
4129,1,701-Black-M,79.00
4129,1,302-Black-M,80.00
4129,1,302-SlateGray-M,80.00
4129,1,901-Navy-M,59.00
4131,4,802-Black-XL,84.00
2788,1,3000-Black-One Size,46.31
3664,1,802-Black-XL,86.44
3953,1,401-White-M,74.00
3941,1,802-Black-M,84.00
3941,1,802-SlateGray-M,84.00
3941,1,802-ChiliPepperRed-M,84.00
3941,1,802-Ivory-M,84.00
3941,1,802-Black-S,84.00
3941,1,802-SlateGray-S,84.00
3941,1,802-Bluestone-S,84.00
3941,1,402-ChiliPepperRed-M,80.00
3941,1,302-Bluestone-M,80.00
3949,1,302-Black-XS,86.13
3952,1,202-Black-M,82.33
3940,1,802-Black-M,84.00
3950,1,802-Black-S,84.00
3935,1,402-Black-M,80.00
3935,1,402-Ivory-M,80.00
3937,1,202-Black-S,80.00
3937,1,202-Black-M,80.00
3951,1,802-White-L,84.00
3951,1,402-White-L,80.00
3934,1,802-Ivory-L,84.00
3934,1,802-Black-L,84.00
3946,1,230-Black-L,82.33
3946,1,230-White-L,82.33
3946,1,230-SlateGray-L,82.33
3409,1,9001-Black-M,90.30
4034,1,1001-White-S,69.00
4033,1,201-White-L,74.00
4028,1,202-Black-XL,80.00
4029,1,501-FuchsiaPurple-M,65.00
4029,1,501-Ivory-M,74.00
4035,1,1001-Black-XS,69.00
4035,1,501-White-XS,74.00
4031,2,801-White-M,79.00
907,1,202-Natural-S,69.00
907,1,1070-Black-S,75.00
1091,1,601-Black-M,62.00
1091,1,1030-Black-L,22.00
1091,1,1070-Black-M,75.00
1517,1,402-Black-S,69.00
1517,1,802-Black-S,71.00
2055,1,402-Black-S,69.00
2055,1,501-Fuchsia Purple-M,62.00
866,1,1030-Black-M,22.00
866,1,901-Black-M,62.00
866,1,802-Black-M,71.00
1518,1,601-Black-M,62.00
1518,1,2001-Navy-M,86.00
1505,1,601-White-S,62.00
1505,1,1031-White-M,10.00
1505,1,1020-White-M,12.00
1505,1,601-Natural-S,62.00
1544,1,601-Black-S,62.00
1544,1,601-White-S,62.00
1544,1,1031-White-S,10.00
1544,1,1031-Black-S,10.00
862,1,1060-Shell Pink-M/L,64.00
862,1,601-Natural-S,62.00
862,1,301-Navy-S,62.00
1169,1,1030-Black-S,22.00
1169,1,1030-Black-M,22.00
1169,1,1050-Black-S,99.00
1062,1,1050-Black-XS,80.00
1062,1,402-Java-XS,69.00
2003,2,1020-Black-XS,9.00
2003,2,1020-White-XS,9.00
2003,1,501-Navy-XS,58.00
2003,1,901-Black-XS,56.00
1140,1,301-Black-S,62.00
1140,1,601-Black-M,62.00
1140,1,1031-Black-M,18.00
1008,1,301-Black-L,62.00
1008,1,301-Navy-L,62.00
853,1,1030-Black-M,22.00
853,1,1030-White-M,22.00
853,1,1050-White-M,95.00
947,4,1030-Black-S,22.64
947,2,1030-Black-M,22.64
1511,1,601-White-M,62.00
1511,2,1031-White-S,10.00
1511,1,401-Navy-M,62.00
1572,1,402-Black-S,69.00
1572,1,402-White-S,69.00
2054,1,1050-White-M,99.00
2054,1,901-Java-L,48.00
858,1,402-Black-L,69.00
858,1,1060-Shell Pink-M/L,64.00
1156,1,601-Black-S,62.00
1156,1,1050-Black-S,85.00
1096,1,1030-White-M,22.00
1096,1,1060-Shell Pink-M/L,118.00
1132,1,401-Black-S,62.00
1132,1,1010-Black-S,32.00
1132,1,401-White-S,62.00
1042,1,202-Natural-S,69.00
1042,1,202-White-S,69.00
1042,1,1020-White-S,28.00
1549,1,802-Black-L,71.00
1549,1,2001-Navy-L,86.00
1526,1,1060-White-M/L,49.00
1526,1,1070-Black-L,75.00
1170,1,301-Black-M,62.00
1170,1,1030-Black-M,22.00
1170,1,501-Grey-M,62.00
987,1,1040-Black-M,82.00
987,1,1060-Black-M/L,118.00
1022,1,1030-Black-M,22.00
1022,1,1060-White-M/L,118.00
926,1,1060-Black-S,118.00
926,1,1020-White-S,28.00
1508,1,601-Natural-L,62.00
1508,1,802-Black-XL,71.00
1480,1,1010-Black-XS,20.00
1480,1,401-Navy-XS,62.00
1480,1,402-Fuchsia Purple-XS,69.00
1528,1,402-Black-XS,69.00
1528,1,601-Black-XS,62.00
1528,1,1020-Black-XS,12.00
1554,1,1030-Black-L,11.00
1554,2,1030-White-XL,11.00
1554,1,1031-Black-L,10.00
1554,1,701-Black-XL,65.00
1554,1,3000-Fuchsia Purple,38.00
1500,1,1050-White-S,99.00
1500,1,1060-White-S,49.00
897,1,601-White-S,62.00
897,1,1030-Black-S,22.00
897,1,601-Natural-S,62.00
1713,1,601-White-M,62.00
1713,1,1031-White-M,10.00
1713,1,1040-Black-M,79.00
985,1,802-Black-L,71.00
985,1,802-Grey-L,71.00
890,1,402-Java-XL,69.00
890,1,802-White-XL,71.00
1481,1,1031-White-M,10.00
1481,1,1060-White-M/L,49.00
1481,1,501-Java-M,62.00
2047,1,601-Black-S,62.00
2047,1,601-White-S,62.00
2047,2,1031-Black-M,8.00
854,1,1030-Black-S,22.00
854,1,501-Java-S,58.00
854,1,301-Navy-S,58.00
1504,5,1030-Black-L,11.00
1504,4,1030-White-L,11.00
1504,1,1060-White-M/L,49.00
894,1,1020-Black-L,28.00
894,1,1030-White-L,22.00
894,1,1050-Black-L,99.00
1927,2,1031-Black-S,10.00
1927,1,202-Navy-XS,69.00
1927,1,901-Navy-XS,62.00
918,1,1040-Black-S,84.38
918,1,402-White-M,71.00
918,1,601-Natural-S,63.80
905,1,402-Navy-M,69.00
905,1,401-Java-M,62.00
892,1,402-Black-M,69.00
892,1,402-White-M,69.00
1536,3,1030-Black-L,11.00
1536,3,1031-White-L,10.00
1536,1,1070-Black-L,75.00
1882,1,1031-White-S,10.00
1882,1,1031-Black-S,10.00
1882,1,1060-Black-S,60.00
1882,1,1070-Black-S,75.00
2058,5,1031-Black-L,8.00
2058,1,501-Navy-L,50.00
2058,1,501-Slate Gray-L,62.00
1881,1,402-Black-XXL,69.00
1881,1,402-Navy,69.00
881,1,302-Black-M,69.00
881,2,1030-Black-M,22.00
881,1,1030-White-M,22.00
986,1,1030-Black-M,22.00
986,1,1031-Black-M,22.00
986,1,1050-Black-M,99.00
1519,1,301-Black-S,62.00
1519,1,1041-Black-S,80.00
1934,1,601-White-S,62.00
1934,1,1050-Black-S,99.00
913,1,1050-White-S,99.00
913,1,601-Natural-S,62.00
877,1,601-Black-S,62.00
877,1,1030-Black-M,22.00
877,1,1030-White-M,22.00
877,1,601-Natural-S,62.00
1936,1,301-White-S,62.00
1936,1,1020-Black-XS,10.00
1936,1,1020-White-S,10.00
1936,1,601-Natural-S,62.00
861,1,1060-Shell Pink-M/L,64.00
861,1,802-Black-XS,71.00
920,1,1060-Black-S,118.00
882,1,202-Natural-S,69.00
882,1,1050-Black-XS,99.00
1535,1,101-Natural-M,45.00
1535,1,1020-Black-L,12.00
1535,1,1020-White-L,12.00
1535,1,802-Black-L,71.00
928,1,302-Black-S,69.00
928,1,1030-Black-S,22.00
883,1,1020-Black-L,28.00
883,1,1040-Black-L,82.00
883,1,1020-White-L,28.00
909,1,202-Black,69.00
909,1,1040-Black,82.00
1078,1,202-Black-S,69.00
1078,1,1050-Black-XS,80.00
857,1,1050-White-M,95.00
1497,1,202-Black-S,69.00
1497,1,1010-White-S,20.00
1497,1,302-Grey-S,69.00
900,1,601-Black-L,62.00
900,1,601-White-L,62.00
900,1,1030-Black-L,22.00
1542,1,601-Black-L,62.00
1542,1,1040-Black-M,79.00
865,1,601-Black-XS,62.00
865,1,1020-White-S,28.00
865,1,601-Natural-XS,62.00
899,1,1010-Black-XS,44.00
899,1,1060-Black-S,118.00
1990,1,3000-White-One Size,38.00
1990,2,3000-Fuchsia Purple,38.00
1990,1,3000-Black-One Size,38.00
1119,1,302-Black-M,69.00
1119,1,301-Navy-M,62.00
1485,1,1031-White-S,10.00
1485,1,1031-Black-S,10.00
1485,1,1050-White-S,99.00
1485,1,501-Navy-S,62.00
1491,1,501-Black-L,62.00
1491,2,1031-Black-M,10.00
1491,1,501-Navy-L,62.00
1653,1,402-Black-M,69.00
1653,1,802-Black-S,71.00
1539,1,1010-Black-XS,20.00
1539,1,1060-Black-S,60.00
1539,1,1020-White-M,12.00
1539,1,301-Navy-XS,62.00
1049,1,202-White-XS,69.00
1049,1,202-Java-XS,69.00
1483,1,401-Black-M,62.00
1483,1,401-Navy-M,62.00
1493,1,1031-Black-M,10.00
1493,1,402-White-M,69.00
1493,1,802-Black-M,71.00
3103,1,9001-White-S,77.51
1478,1,302-Black-XS,69.00
2979,1,201-White-M,67.00
2756,1,202-Navy-XL,74.00
2922,1,402-Black-L,74.00
2922,1,401-Natural-L,35.00
2922,1,402-White-L,74.00
2787,1,402-Black-L,74.00
2787,1,402-Java-L,74.00
2787,1,402-Slate Gray-L,74.00
3062,1,901-Black-M,40.13
2133,1,401-Black-M,62.00
2128,1,402-Black-S,69.00
2125,1,501-Black-XL,62.00
2125,1,501-Natural-L,39.00
2135,1,302-Black-L,69.00
2135,1,901-Black-L,38.00
2124,1,301-Black-L,62.00
2124,1,501-Black-L,62.00
2140,1,202-Black-S,69.00
