customer_id,city,state,zip
1095,Burleson ,TX,76028
1096,Dallas,TX,75205
1094,Granbury,TX,76049
1090,Benbrook ,TX,76126
1092,Irving,TX,75061
398,Fort Worth,TX,76107
351,Greenville,DE,19807
61,Eugene,OR,97402
485,WOODSIDE,CA,94062
328,Gloucester,MA,01930
630,San Francisco,CA,94129
628,Saint Peter,MN,56082
382,Clinton,IL,61727
629,Mill Valley,CA,94941
631,COLUMBIA,MD,21045
617,La Grande,OR,97850
637,La Grande,OR,97850
205,Jersey City,NJ,07307
462,Clinton,IL,61727
1202,Carmel,CA,93922
624,oakland,CA,94612
95,Hartsdale,NY,10305
627,Campbell Hall,NY,10916
1231,Arvada,CO,80007
1429,Denver,CO,80210
1606,Alamo,CA,94507
1618,Colleyville,TX,76034
1338,Appleton,WI,54913
1644,DENVER,CO,80205
1479,Westcliffe,CO,81252
1645,Denver,CO,80222
657,Castle Rock,CO,80108
463,Hickory Hills,IL,60457
1533,Novato,CA,94949
1542,durham,NC,27712
1516,Portland,OR,97215
1512,ATASCADERO,CA,93422
1761,Middletown,DE,19709
1271,Santa Clara,CA,95051
1280,Denver,CO,80224
826,San Antonio,TX,78256
16,Denver,CO,80205
1272,Carlsbad,CA,92013
1121,Clinton,CT,06413
1148,Littleton,CO,80128
831,Denver,CO,80224
474,Portland,OR,97215
435,Happy Valley,OR,97086
408,Atlanta,GA,30306
25,Excelsior,MN,55331
418,Everett,MA,02149
660,McLean,VA,22101
804,Denver,CO,80210
803,Cambridge,MA,02141
252,Lexington,KY,40513
623,University Park,MD,20782
808,St. Louis,MO,63117
825,Brentwood,TN,37027
737,San Miguel,CA,93451
820,Centennial,CO,80015
456,Webster,WI,54893
772,Campbell,CA,95008
337,Lafayette,CA,94549
822,Highlands Ranch,CO,80126
371,Saint Simons Island,GA,31522
805,Englewood,CO,80111
855,San Diego,CA,92109
1372,Lakewood,CO,80228
1215,New York,NY,10026
770,Warrenton,VA,20187
1594,hendersonville,NC,28739
1204,Austin,TX,78759
847,Washington,DC,20008
1534,Denver,CO,80202
1557,Denver,CO,80238
1307,lincoln,NE,68516
1159,Houston,TX,77019
942,Park Ridge,IL,60068
994,Houston,TX,77027
1655,San Jose,CA,95129
823,Rancho Santa Fe,CA,92067
738,aventura,FL,33180
1686,NYC,NY,10024
775,Mount Kisco,NY,10549
1685,Vista,CA,92084
1006,Shrewsbury,MA,01545
821,San Francisco,CA,94123
819,Denver,CO,80210
1444,New York,NY,10018
1558,DENVER,CO,80220
1123,Westminster ,CO,80021
874,Miami Beach,FL,33140
843,Port Washington,NY,11050
423,SAN ANTONIO,TX,78240
1069,tacoma,WA,98445
790,Denver,CO,80231
1532,WINDCREST,TX,78239
1459,Boulder,CO,80304
1488,Spokane,WA,99202
1581,Oak Park,IL,60301
1482,Norwich,VT,05055
1442,San Antonio,TX,78209
1507,Rego Park,NY,11374
669,Dallas,TX,75240
683,Santa Fe,NM,87501
265,San Francisco,CA,94109
682,Camas,WA,98607
675,Briarcliff Manor,NY,10510
550,Austin,TX,78703
1349,Gary,IN,46403
1047,Longmont,Co,80504
1779,Menasha,WI,54952
1733,Nashville,TN,37203
1642,Chevy Chase,MD,20815
1423,denver,CO,80230
834,San Francisco,CA,94118
842,Denver,CO,80210
